,Errors
0,1
1,0.5
2,0.666666667
3,0.178571429
4,1
5,0.166666667
6,0.428571429
7,0.107142857
8,0.25
9,0.25
10,0.081818182
11,0.075757576
12,0.076923077
13,0.057142857
14,0.083333333
15,0.076923077
16,0.071428571
17,0.037878788
18,0.05
19,0.15037594
20,0.039473684
21,0.035714286
22,0.032051282
23,0.05
24,0.042857143
25,0.036549708
26,0.041666667
27,0.04173913
28,0.026455026
29,0.25
30,0.038518519
31,0.034632035
32,0.023185484
33,0.043290043
34,0.021390374
35,0.020220588
36,0.021621622
37,0.023333333
38,0.083333333
39,0.036666667
40,0.026153846
41,0.018718094
42,0.020084567
43,0.023809524
44,0.028439153
45,0.030788177
46,0.02183908
47,0.095238095
48,0.019191919
49,0.014991182
50,0.016091954
51,0.029166667
52,0.015053763
53,0.055555556
54,0.021551724
55,0.014903565
56,0.115384615
57,0.018145161
58,0.014204545
59,0.019776715
60,0.019607843
61,0.017910448
62,0.018487395
63,0.032089552
64,0.023015873
65,0.032360532
66,0.011578947
67,0.026266417
68,0.011531532
69,0.017568851
70,0.011111111
71,0.016358464
72,0.019027484
73,0.021961263
74,0.01474359
75,0.021341463
76,0.008040626
77,0.020325203
78,0.011816141
79,0.013842746
80,0.043956044
81,0.013213531
82,0.016078431
83,0.012077295
84,0.021276596
85,0.008591065
86,0.011524823
87,0.01546003
88,0.009433962
89,0.029239766
90,0.010935143
91,0.012755102
92,0.00930093
93,0.011020408
94,0.010582011
95,0.010588235
96,0.012066365
97,0.010159652
98,0.013611615
99,0.016656926
100,0.008517609
101,0.00829646
102,0.00976431
103,0.018500797
104,0.012288786
105,0.008725542
106,0.012400794
107,0.014903565
108,0.007243228
109,0.007451923
110,0.011888112
111,0.004828974
112,0.007914971
113,0.004694836
114,0.008757062
115,0.011533243
116,0.008469945
117,0.006603175
118,0.055183946
119,0.014013749
120,0.007456808
121,0.010663984
122,0.006643701
123,0.016129032
124,0.006178161
125,0.007111111
126,0.019704433
127,0.007692308
128,0.010367762
129,0.027370479
130,0.005940504
131,0.006755856
132,0.01002331
133,0.005761954
134,0.009996298
135,0.012477718
136,0.009438104
137,0.00584981
138,0.013160173
139,0.007726451
140,0.009335443
141,0.00617284
142,0.01189945
143,0.009109731
144,0.011088573
145,0.00399295
146,0.005632955
147,0.004923124
148,0.008853119
149,0.008876104
150,0.011142254
151,0.008561644
152,0.005346164
153,0.030808729
154,0.005546645
155,0.008330248
156,0.005875706
157,0.008181393
158,0.014518002
159,0.007017544
160,0.008694865
161,0.00555939
162,0.00683527
163,0.006660007
164,0.007789679
165,0.005477887
166,0.005671245
167,0.005102041
168,0.007594937
169,0.012488437
170,0.007407407
171,0.021419009
172,0.004016004
173,0.007171543
174,0.004981433
175,0.004726826
176,0.005104006
177,0.006442577
178,0.003337871
179,0.00629275
180,0.017001633
181,0.004441399
182,0.003436426
183,0.006950013
184,0.009324009
185,0.004153686
186,0.004119054
187,0.004080558
188,0.004079602
189,0.00403921
190,0.013973064
191,0.009612984
192,0.005982906
193,0.004088953
194,0.007312693
195,0.005843852
196,0.006520247
197,0.013393925
198,0.003918717
199,0.004577357
200,0.004477612
201,0.007025931
202,0.005701754
203,0.002878307
204,0.01048218
205,0.004357092
206,0.011054422
207,0.00535972
208,0.003643498
