,Enter,cruise,cruise_left,cruise_right,accelerate,accelerate_left,accelerate_right,slow,slow_left,slow_right,stop,exit,fail_state
Enter,0,0,0,0,0.564593301,0.267942584,0.167464115,0,0,0,0,0,0
cruise,0,0.505865103,0.105571848,0.117302053,0,0,0,0,0.071847507,0.073313783,0.011730205,0.114369501,0
cruise_left,0,0.428571429,0.098901099,0.186813187,0,0,0,0,0.087912088,0.027472527,0.005494505,0.164835165,0
cruise_right,0,0.394871795,0.102564103,0.107692308,0,0,0,0,0.066666667,0.051282051,0.051282051,0.225641026,0
accelerate,0,0.194285714,0.085714286,0.045714286,0.291428571,0.134285714,0.154285714,0,0.045714286,0.037142857,0.008571429,0.002857143,0
accelerate_left,0,0.215189873,0.071729958,0.130801688,0.139240506,0.033755274,0.286919831,0,0.021097046,0.071729958,0.004219409,0.025316456,0
accelerate_right,0,0.244186047,0.096899225,0.050387597,0.139534884,0.166666667,0.081395349,0,0.081395349,0.069767442,0.042635659,0.027131783,0
slow,0,0,0,0,0,0,0,0,0,0,0,0,0
slow_left,0,0,0,0,0.275,0.133333333,0.583333333,0,0,0,0.008333333,0,0
slow_right,0,0,0,0,0.247787611,0.592920354,0.088495575,0,0,0,0.061946903,0.008849558,0
stop,0,0,0,0,0,0,0,0,0,0,0.421875,0,0.578125
exit,0,0,0,0,0,0,0,0,0,0,0,0,0
fail_state,0,0,0,0,0,0,0,0,0,0,0,0,0
