,Errors
0,1
1,1
2,1
3,0.5
4,0.25
5,0.25
6,0.071428571
7,0.166666667
8,0.333333333
9,0.25
10,0.2
11,0.2
12,0.142857143
13,1
14,0.161616162
15,0.088888889
16,0.031746032
17,0.02955665
18,0.066666667
19,0.026209677
20,0.111888112
21,0.066666667
22,0.083333333
23,0.041666667
24,0.049707602
25,0.065934066
26,0.036796537
27,0.047619048
28,0.035714286
29,0.020731707
30,0.2
31,0.035294118
32,0.018357488
33,0.081818182
34,0.041666667
35,0.016214178
36,0.25
37,0.057416268
38,0.03042328
39,0.068681319
40,0.032019704
41,0.031034483
42,0.070512821
43,0.025201613
44,0.027462121
45,0.028325123
46,0.027629234
47,0.037878788
48,0.029411765
49,0.15
50,0.054945055
51,0.021486643
52,0.011986301
53,0.047619048
54,0.022177419
55,0.016843972
56,0.020613108
57,0.054166667
58,0.1
59,0.020512821
60,0.045751634
61,0.017254902
62,0.01546003
63,0.027777778
64,0.030952381
65,0.016422082
66,0.034632035
67,0.009831461
68,0.014097744
69,0.01736865
70,0.037549407
71,0.017780939
72,0.013276836
73,0.021164021
74,0.016463415
75,0.013568868
76,0.032608696
77,0.008639099
78,0.03
79,0.013286713
80,0.028517622
81,0.01172208
82,0.025641026
83,0.007944308
84,0.008695652
85,0.013876041
86,0.025132275
87,0.071428571
88,0.016439541
89,0.007406352
90,0.011531532
91,0.013213981
92,0.027093596
93,0.012519562
94,0.025384615
95,0.011973875
96,0.012032581
97,0.007032258
98,0.009943978
99,0.011711712
100,0.009926855
101,0.053571429
102,0.007724205
103,0.006694069
104,0.022988506
105,0.041666667
106,0.033333333
107,0.011035378
108,0.006354041
109,0.024731183
110,0.008547009
111,0.021095335
112,0.021169355
113,0.010144928
114,0.011563367
115,0.022727273
116,0.008991228
117,0.027272727
118,0.005707196
119,0.007142857
120,0.005572805
121,0.020168067
122,0.005473602
123,0.008736168
124,0.024603175
125,0.008376166
126,0.018768769
127,0.018492176
128,0.005257393
129,0.019568151
130,0.018136335
131,0.008023276
132,0.016840883
133,0.023625883
134,0.01744186
135,0.015656566
136,0.007756464
137,0.007730015
138,0.005636921
139,0.018522091
140,0.004849601
141,0.00675361
142,0.016188714
143,0.015514184
144,0.013157895
145,0.007822686
146,0.007691212
147,0.014880952
148,0.005420412
149,0.007093664
150,0.022727273
151,0.014285714
152,0.035714286
153,0.019047619
154,0.004460852
155,0.013197587
156,0.007246377
157,0.016328012
158,0.026072041
159,0.004232609
160,0.012337662
161,0.011904762
162,0.004141199
163,0.010629252
164,0.004053593
165,0.006705217
166,0.00400067
167,0.00635221
168,0.014821537
169,0.011981297
170,0.01299435
171,0.006177156
172,0.013934426
173,0.012084023
174,0.006318083
175,0.005528124
176,0.011369646
177,0.003691853
178,0.003661088
179,0.007513417
180,0.011008705
181,0.013673469
182,0.010576923
183,0.006059926
184,0.02745098
185,0.010628675
186,0.012836479
187,0.016339869
188,0.009069767
189,0.009877085
190,0.005362615
191,0.009590793
192,0.006317065
193,0.005126452
194,0.004351266
195,0.009797918
196,0.003333806
197,0.005571848
198,0.011541471
199,0.00913242
200,0.012792793
201,0.006060606
202,0.008596491
203,0.01076555
204,0.003188406
205,0.004100889
206,0.00743865
207,0.003136201
208,0.004014939
209,0.008633174
210,0.01032301
211,0.004400837
212,0.003849698
213,0.010061668
214,0.008438819
215,0.003021685
216,0.008322087
217,0.008130081
218,0.005691057
219,0.005462185
220,0.005081796
221,0.022222222
222,0.009403468
223,0.014285714
224,0.007888698
225,0.005351578
226,0.009663866
227,0.008329298
228,0.005264561
229,0.002855451
230,0.005047564
231,0.00773669
232,0.00875513
233,0.004796309
234,0.00516129
235,0.003907168
236,0.007618284
237,0.047619048
238,0.004615558
239,0.005283338
240,0.004444808
241,0.002708825
242,0.008881923
243,0.002685164
244,0.002668841
245,0.008426966
246,0.003587086
247,0.008798646
248,0.004383941
249,0.004778701
250,0.006272561
251,0.014492754
252,0.004881108
253,0.004881607
254,0.007012623
255,0.013333333
256,0.007026144
257,0.004197739
258,0.006718925
259,0.007785088
260,0.0047075
261,0.004135742
262,0.00762457
263,0.006435714
264,0.003059741
265,0.006522197
266,0.004609929
267,0.003390567
268,0.002478519
269,0.012653061
270,0.004260652
271,0.006138614
272,0.003943545
273,0.006018249
274,0.002429389
275,0.006648281
276,0.007805064
277,0.004715673
278,0.003906068
279,0.002404669
280,0.004309609
281,0.005750225
282,0.006965262
283,0.002659135
284,0.007874697
285,0.005606524
286,0.003948413
287,0.00675563
288,0.012307692
289,0.005487305
290,0.007239382
291,0.006344858
292,0.003727951
293,0.002267484
294,0.010651629
295,0.0022509
296,0.011396011
297,0.003642265
298,0.002229647
299,0.0064836
300,0.003616637
301,0.006971514
302,0.010582011
303,0.003727014
304,0.009852217
305,0.006818182
306,0.006808634
307,0.009195402
