,Enter,cruise,cruise_left,cruise_right,accelerate,accelerate_left,accelerate_right,slow,slow_left,slow_right,stop,exit,fail_state
Enter,0,0,0,0,0.511961722,0.373205742,0.114832536,0,0,0,0,0,0
cruise,0,0.485549133,0.102601156,0.151734104,0,0,0,0,0.069364162,0.062138728,0.011560694,0.117052023,0
cruise_left,0,0.340659341,0.115384615,0.208791209,0,0,0,0,0.054945055,0.049450549,0.082417582,0.148351648,0
cruise_right,0,0.468,0.148,0.108,0,0,0,0,0.04,0.068,0,0.168,0
accelerate,0,0.205882353,0.020588235,0.085294118,0.294117647,0.155882353,0.123529412,0,0.052941176,0.047058824,0.011764706,0.002941176,0
accelerate_left,0,0.201413428,0.060070671,0.123674912,0.134275618,0.045936396,0.254416961,0,0.056537102,0.060070671,0.042402827,0.021201413,0
accelerate_right,0,0.216450216,0.125541126,0.069264069,0.177489177,0.173160173,0.056277056,0,0.056277056,0.090909091,0,0.034632035,0
slow,0,0,0,0,0,0,0,0,0,0,0,0,0
slow_left,0,0,0,0,0.234782609,0.147826087,0.573913043,0,0,0,0.043478261,0,0
slow_right,0,0,0,0,0.219512195,0.666666667,0.113821138,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,0.327868852,0,0.672131148
exit,0,0,0,0,0,0,0,0,0,0,0,0,0
fail_state,0,0,0,0,0,0,0,0,0,0,0,0,0
