,Enter,cruise,cruise_left,cruise_right,accelerate,accelerate_left,accelerate_right,slow_left,slow_right,stop,exit,fail_state
Enter,0,0,0,0,0.594155844,0.405844156,0,0,0,0,0,0
cruise,0,0.454658385,0.110559006,0.178881988,0,0,0,0.042236025,0.093167702,0.01242236,0.108074534,0
cruise_left,0,0.277511962,0.076555024,0.129186603,0,0,0,0.100478469,0.057416268,0.04784689,0.138755981,0.172248804
cruise_right,0,0.564102564,0.099358974,0.118589744,0,0,0,0.032051282,0.083333333,0.009615385,0.092948718,0
accelerate,0,0.17032967,0.06959707,0.064102564,0.32967033,0.263736264,0.043956044,0.023809524,0.029304029,0.001831502,0.003663004,0
accelerate_left,0,0.146987952,0.040963855,0.134939759,0.178313253,0.040963855,0.202409639,0.043373494,0.05060241,0.014457831,0.024096386,0.122891566
accelerate_right,0,0.293103448,0.103448276,0.074712644,0.212643678,0.057471264,0.097701149,0.068965517,0.063218391,0.011494253,0.017241379,0
slow_left,0,0,0,0,0.287037037,0.138888889,0.305555556,0,0,0.027777778,0,0.240740741
slow_right,0,0,0,0,0.254658385,0.645962733,0.099378882,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0.491525424,0,0.508474576
exit,0,0,0,0,0,0,0,0,0,0,0,0
fail_state,0,0,0,0,0,0,0,0,0,0,0,0
